,sample,energy,num_occurrences,chain_break_fraction
0,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-18.096000000000004,71,0.0
1,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-18.096000000000004,67,0.0
2,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-18.096000000000004,74,0.0
3,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-18.096000000000004,63,0.0
4,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-18.096000000000004,55,0.0
5,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-18.096000000000004,46,0.0
6,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-18.021000000000004,67,0.0
7,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-18.021000000000004,66,0.0
8,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-18.021,92,0.0
9,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-18.021000000000004,82,0.0
10,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-18.021,116,0.0
11,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-18.021,95,0.0
12,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-18.021000000000004,60,0.0
13,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-18.021000000000004,82,0.0
14,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-18.021,49,0.0
15,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 1}",-18.021000000000004,42,0.0
16,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-18.021000000000004,104,0.0
17,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 1}",-18.021000000000004,89,0.0
18,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 1}",-18.021000000000004,81,0.0
19,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 0}",-18.021,90,0.0
20,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-18.021000000000004,84,0.0
21,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 0}",-18.021,120,0.0
22,"{3: 0, 4: 0, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-18.021000000000004,90,0.0
23,"{3: 1, 4: 0, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 1}",-18.021000000000004,62,0.0
24,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 1, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-17.946,89,0.0
25,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 0}",-17.946000000000005,144,0.0
26,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 1, '0*2': 1, 1: 0, '1*2': 0, '1*0*2': 0, 5: 0, '0*5': 0, '0*3': 0}",-17.946000000000005,90,0.0
27,"{3: 0, 4: 1, '3*4': 0, 0: 1, 2: 0, '0*2': 0, 1: 0, '1*2': 0, '1*0*2': 0, 5: 1, '0*5': 1, '0*3': 0}",-17.946000000000005,65,0.0
28,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 1, '0*5': 1, '0*3': 1}",-17.871,52,0.0
29,"{3: 1, 4: 1, '3*4': 1, 0: 1, 2: 1, '0*2': 1, 1: 1, '1*2': 1, '1*0*2': 1, 5: 0, '0*5': 0, '0*3': 1}",-17.871000000000002,86,0.0
